Source,Original ID,Acceptability,Original annotation,Sentence,Material added
SoD-Noun2,4.15c,0,*,Er ligt twee reep chocola op tafel.,0
SoD-Noun2,4.16a,1,,Dat paar eenden zwemt.,1
SoD-Noun2,4.16a',1,,Die paar eenden zwemmen.,1
SoD-Noun2,4.16b,1,,Ik heb dat pond kaas gekocht.,1
SoD-Noun2,4.16b',1,,Ik vond die pond kaas lekkerder.,1
SoD-Noun2,4.17a',1,,Deze paar eenden zijn geel.,1
SoD-Noun2,4.17b,1,,Dit pond uien is vers.,1
SoD-Noun2,4.17b',1,,Deze pond kaas is lekker.,1
SoD-Noun2,4.18a,1,,Dit paartje eenden zwemt.,1
SoD-Noun2,4.18b,1,,Dit pondje kaas is lekker.,1
SoD-Noun2,4.19a,1,,Ik drink deze fles bier.,1
SoD-Noun2,4.19a,1,,Ik drink die fles bier.,1
SoD-Noun2,4.19a',0,*,Ik drink dit fles bier.,1
SoD-Noun2,4.19a',1,,Ik drink dat fles bier.,1
SoD-Noun2,4.19b,1,,Deze kudde vee loopt buiten.,1
SoD-Noun2,4.19b',1,,Dat kudde vee loopt buiten.,1
SoD-Noun2,4.19c,1,,Dit stuk kaas is lekker.,1
SoD-Noun2,4.19c,1,,Dat stuk kaas is lekker.,1
SoD-Noun2,4.19c',0,*,Deze stuk kaas is lekker.,1
SoD-Noun2,4.19c',1,,Die stuk kaas is lekker.,1
SoD-Noun2,4.20a,1,,De studenten verspreiden zich.,0
SoD-Noun2,4.20a',1,,De politie verspreidt zich.,0
SoD-Noun2,4.20b,1,,De studenten omsingelen het gebouw.,0
SoD-Noun2,4.20b',1,,De politie omsingelt het gebouw.,0
SoD-Noun2,4.21a,1,,Er omsingelen een aantal studenten het gebouw.,0
SoD-Noun2,4.21b,1,,Een aantal studenten omsingelt het gebouw.,0
SoD-Noun2,4.22c,1,,Jan verzamelde een doos postzegels.,0
SoD-Noun2,4.22c,1,,Jan verzamelde een doos porselein.,0
SoD-Noun2,4.23a,1,,Jan rookt een sigaar.,0
SoD-Noun2,4.23c,1,,Jan rookt een doos sigaren.,0
SoD-Noun2,4.24b,1,,Jan sloot een doos.,0
SoD-Noun2,4.25a,1,,Jan at een kilo paddenstoelen.,0
SoD-Noun2,4.25b,1,,Hij is gestoken door een zwerm wespen.,0
SoD-Noun2,4.25c,1,,Hij heeft een stuk taart opgegeten.,0
SoD-Noun2,4.26a,1,,Ik drink een koud glas bier.,1
SoD-Noun2,4.26a',1,,Ik drink een glas koud bier.,1
SoD-Noun2,4.26b,1,,Ik drink een lekker glas bier.,1
SoD-Noun2,4.26b',1,,Ik drink een glas lekker bier.,1
SoD-Noun2,4.27a',1,,Ik drink een glas met koud bier.,1
SoD-Noun2,4.27b',1,,Ik drink een glas met lekker bier.,1
SoD-Noun2,4.29a,1,,Ik drink een lekkere wijn.,1
SoD-Noun2,4.29b,1,,Ik drink een lekker glas wijn.,1
SoD-Noun2,4.29b,0,*,Ik drink een lekkere glas wijn.,1
SoD-Noun2,4.30a',1,,Ik drink een fles zure melk.,1
SoD-Noun2,4.31a,1,,Ik heb een kleine doos knikkers.,1
SoD-Noun2,4.31a',1,,Ik heb een doos kleine knikkers.,1
SoD-Noun2,4.32a',1,,Dat is een luidruchtige groep studenten.,1
SoD-Noun2,4.32b,1,,Ik schrijf met een geel stuk krijt.,1
SoD-Noun2,4.32b',1,,Dat is een dodelijk brok radioactief afval.,1
SoD-Noun2,4.33a,1,,Dat zijn een aantal luidruchtige studenten.,1
SoD-Noun2,4.33a',0,*?,Dat is een luidruchtige aantal studenten.,1
SoD-Noun2,4.33b,1,,Ik heb een kilo geel krijt.,1
SoD-Noun2,4.34a,1,,De ouders van Jan en Marie slaan elkaar.,0
SoD-Noun2,4.34b,1,,Hun ouders slaan elkaar.,0
SoD-Noun2,4.35b,1,,Een pond pieren krioelt door elkaar.,0
SoD-Noun2,4.35c,1,,Een emmer pieren krioelt door elkaar.,0
SoD-Noun2,4.35c,0,*,Een emmer pieren krioelen door elkaar.,0
SoD-Noun2,4.35d,1,,Een club toeristen fotografeert elkaar.,0
SoD-Noun2,4.35d,0,*,Een club toeristen fotograferen elkaar.,0
SoD-Noun2,4.36a,1,,Jan houdt een glas melk vast.,0
SoD-Noun2,4.36c,1,,Ze is zuur.,0
SoD-Noun2,4.37a,1,,Jan drinkt een glas melk.,0
SoD-Noun2,4.39a,1,,Dat zijn een boel mensen.,1
SoD-Noun2,4.39a',0,*,Dat zijn vier boel mensen.,1
SoD-Noun2,4.39c,1,,Dat is een emmer peren.,1
SoD-Noun2,4.39c',1,,Dat zijn vier emmers peren.,1
SoD-Noun2,4.39d,1,,Dat is een reep chocolade.,1
SoD-Noun2,4.39d',1,,Dat zijn vier repen chocolade.,1
SoD-Noun2,4.39e,1,,Dit is een groep studenten.,1
SoD-Noun2,4.39e',1,,Dit zijn vier groepen studenten.,1
SoD-Noun2,4.40a,1,,Ik heb vier paar boeken.,1
SoD-Noun2,4.40b,1,,Ik heb vier paren schoenen.,1
SoD-Noun2,4.40b',0,??,Ik heb vier paren boeken.,1
SoD-Noun2,4.41a,1,,Er viel twee meter sneeuw.,0
SoD-Noun2,4.41b,0,*?,Er vielen twee meters sneeuw.,0
SoD-Noun2,4.43a,1,,Hij dronk liters melk.,0
SoD-Noun2,4.43b,1,,Er viel meters sneeuw.,0
SoD-Noun2,4.43c,1,,Er lag meters touw.,0
SoD-Noun2,4.44a,1,,Er stonden emmers peren.,0
SoD-Noun2,4.45a,1,,Hij dronk enkele liters bier.,0
SoD-Noun2,4.45a,0,*,Hij dronk enkele liter bier.,0
SoD-Noun2,4.45a,1,,Hij dronk vele liters bier.,0
SoD-Noun2,4.45a,0,*,Hij dronk vele liter bier.,0
SoD-Noun2,4.45b,1,,Er viel enkele meters sneeuw.,0
SoD-Noun2,4.46b,1,,Vijf weken vakantie per jaar is eigenlijk te weinig.,0
SoD-Noun2,4.47,1,,Vijf weken vrij per jaar is eigenlijk te weinig.,0
SoD-Noun2,4.48a,0,*,Dat zijn een boeltje mensen.,1
SoD-Noun2,4.48b,1,,Ik drink een litertje melk.,1
SoD-Noun2,4.48b',1,,Ik drink twee litertjes melk.,1
SoD-Noun2,4.48b',0,*,Ik drink twee litertje melk.,1
SoD-Noun2,4.48c',1,,Dat zijn twee emmertjes peren.,1
SoD-Noun2,4.48d',1,,Dat zijn twee reepjes chocolade.,1
SoD-Noun2,4.48e,1,,Dat is een groepje studenten.,1
SoD-Noun2,4.48e',1,,Dat zijn twee groepjes studenten.,1
SoD-Noun2,4.49a,0,*,Dat is een mensenboel.,1
SoD-Noun2,4.49c,1,,Dat is een perenemmer.,1
SoD-Noun2,4.50a,1,,Ik zie een boel studenten.,1
SoD-Noun2,4.50a',0,*,Ik zie de boel studenten.,1
SoD-Noun2,4.50b,1,,Dat is een ons kaas.,1
SoD-Noun2,4.50b',1,,Dat is het ons kaas.,1
SoD-Noun2,4.50c,1,,Dat is een is kistje sigaren.,1
SoD-Noun2,4.50c',1,,Dat is het kistje sigaren.,1
SoD-Noun2,4.50d,1,,Dat is een stuk zeep.,1
SoD-Noun2,4.50d',1,,Dat is het stuk zeep.,1
SoD-Noun2,4.51b,1,,Ik zie de paar boeken.,1
SoD-Noun2,4.52a,1,,Dat zijn de vijfentwintig boeken.,1
SoD-Noun2,4.52a,0,??,Dat zijn de vijfentwintig boeken die ik gisteren heb besteld.,1
SoD-Noun2,4.52b,1,,Dat zijn de vele boeken.,1
SoD-Noun2,4.52b,0,??,Dat zijn de vele boeken die ik heb gelezen.,1
SoD-Noun2,4.55b,1,,Ik heb helemaal geen ons kaas gezien.,0
SoD-Noun2,4.55c,1,,Ik heb helemaal geen kistje sigaren gestolen.,0
SoD-Noun2,4.55d,1,,Ik heb helemaal geen stuk zeep gepakt.,0
SoD-Noun2,4.55e,1,,Er staat helemaal geen groep studenten op straat.,0
SoD-Noun2,4.56a,0,*,Deze boel boeken die ik gelezen heb liggen daar.,0
SoD-Noun2,4.56a,1,,Die boel boeken die ik gelezen heb liggen daar.,0
SoD-Noun2,4.56a,0,*,Deze boel boeken liggen daar.,0
SoD-Noun2,4.56a,1,,Die boel boeken liggen daar.,0
SoD-Noun2,4.56b,1,,Die paar euro's die hij me gaf maken geen verschil.,0
SoD-Noun2,4.56b,1,,Die paar euro's maken geen verschil.,0
SoD-Noun2,4.57a,1,,Ik draag dit paar schoenen.,1
SoD-Noun2,4.57a,1,,Ik draag dat paar schoenen.,1
SoD-Noun2,4.57b,1,,Ik draag deze paar schoenen.,1
SoD-Noun2,4.57b,1,,Ik draag die paar schoenen.,1
SoD-Noun2,4.59a,1,,Ik zie dit kistje sigaren.,1
SoD-Noun2,4.59a,1,,Ik zie dat kistje sigaren.,1
SoD-Noun2,4.59b,1,,Ik zie dit stuk zeep.,1
SoD-Noun2,4.59c,1,,Ik zie dit groepje studenten.,1
SoD-Noun2,4.59c,1,,Ik zie dat groepje studenten.,1
SoD-Noun2,4.58a,1,,Ik zie dit pond uien.,1
SoD-Noun2,4.58a,1,,Ik zie dat pond uien.,1
SoD-Noun2,4.60a,0,*,Dat zijn mijn paar boeken die ik gelezen heb.,1
SoD-Noun2,4.60c,1,,Dat is mijn kistje sigaren.,1
SoD-Noun2,4.60d,1,,Dat is mijn stuk zeep.,1
SoD-Noun2,4.60e,1,,Dat is zijn groepje studenten.,1
SoD-Noun2,4.61a,0,*,Dat is sommige boel schoenen.,1
SoD-Noun2,4.61a,0,*,Dat zijn sommige boelen schoenen.,1
SoD-Noun2,4.61a,0,*,Dat is alle boel schoenen schoenen.,1
SoD-Noun2,4.61a,0,*,Dat zijn alle boelen schoenen.,1
SoD-Noun2,4.61a,0,*,Dat is vier boel schoenen.,1
SoD-Noun2,4.61a,0,*,Dat zijn vier boelen schoenen.,1
SoD-Noun2,4.61b,0,*,Ik heb elke boel schoenen.,1
SoD-Noun2,4.62a,1,,Ik heb sommige koppen koffie.,1
SoD-Noun2,4.62a,1,,Ik heb alle koppen koffie.,1
SoD-Noun2,4.62a,1,,Ik heb vier koppen koffie.,1
SoD-Noun2,4.62a',1,,Ik heb elke kop koffie.,1
SoD-Noun2,4.62b,1,,Ik heb sommige stukken taart.,1
SoD-Noun2,4.62b,1,,Ik heb alle stukken taart.,1
SoD-Noun2,4.62b,1,,Ik heb vier stukken taart.,1
SoD-Noun2,4.62b',1,,Ik heb elk stuk taart.,1
SoD-Noun2,4.62c,1,,Ik heb alle kuddes geiten.,1
SoD-Noun2,4.62c',1,,Ik heb elke kudde geiten.,1
SoD-Noun2,4.63a,1,,Ik heb sommige paren schoenen.,1
SoD-Noun2,4.63b,1,,Ik heb elk paar schoenen.,1
SoD-Noun2,4.65a,1,,Ik heb alle liters melk.,1
SoD-Noun2,4.65b,1,,Ik heb elke liter melk.,1
SoD-Noun2,4.66a,1,,Ik heb vier liter melk.,1
SoD-Noun2,4.66b,1,,Ik heb vier liters melk.,1
SoD-Noun2,4.67,1,,Er is vier man personeel.,1
SoD-Noun2,4.68a,0,*,Dat is een klein paar fouten.,1
SoD-Noun2,4.68b,1,,Dat is een kleine kilo kaas.,1
SoD-Noun2,4.68c,1,,Dat is een groot glas bier.,1
SoD-Noun2,4.68d,1,,Dat is een groot stuk kaas.,1
SoD-Noun2,4.68e,1,,Dat is een grote groep studenten.,1
SoD-Noun2,4.69a,1,,Er stroomden vele liters wijn.,0
SoD-Noun2,4.69b,1,,Jan drinkt een kleine liter wijn.,1
SoD-Noun2,4.69c,1,,Jan drinkt een halve liter wijn.,1
SoD-Noun2,4.69c,1,,Jan drinkt een hele liter wijn.,1
SoD-Noun2,4.70a,1,,Dat zijn talrijke glazen bier.,1
SoD-Noun2,4.70a',0,??,Dat is een versierd glas bier.,1
SoD-Noun2,4.70b,1,,Dat is een grote kist sinaasappelen.,1
SoD-Noun2,4.71a,1,,Dat is een halve reep chocola.,1
SoD-Noun2,4.71b,1,,Dat is een klein stuk krijt.,1
SoD-Noun2,4.72a,1,,Dat zijn vele groepen studenten.,1
SoD-Noun2,4.72b,1,,Dat is een enorme vlucht kraanvogels.,1
SoD-Noun2,4.73a,0,*,Dat zijn een hoop aantal mensen.,1
SoD-Noun2,4.73b,1,,Dat is een aantal kilo kaas.,1
SoD-Noun2,4.73b,1,,Dat zijn een aantal kilo's kaas.,1
SoD-Noun2,4.73d,1,,Dat zijn een aantal repen chocola.,1
SoD-Noun2,4.73e,1,,Dat zijn een aantal groepen studenten.,1
SoD-Noun2,4.74a,1,,Dat is vier kilo kaas.,1
SoD-Noun2,4.74b,1,,Dat zijn vier kilo's kaas.,1
SoD-Noun2,4.76b,1,,Jan heeft vier kilo's kaas en ik heb er vijf.,0
SoD-Noun2,4.77a,1,,Er zitten vier zakken suiker in de marmalade.,0
SoD-Noun2,4.77a',1,,Dat zijn vier zakken suiker.,1
SoD-Noun2,4.77a',1,,Dat zijn een paar zakken suiker.,1
SoD-Noun2,4.77b,1,,Er staan een paar zakken suiker op tafel.,0
SoD-Noun2,4.78a,0,*,Dat is een kilo hoop kaas.,1
SoD-Noun2,4.78b,0,*,Dat is een kilo ons kaas.,1
SoD-Noun2,4.79a,0,*,Dat is een doos hoop kaas.,1
SoD-Noun2,4.79b,0,*,Dat is een doos kilo kaas.,1
SoD-Noun2,4.79c,1,,Dat is een doos pakjes lucifers.,1
SoD-Noun2,4.79d,1,,Dat is een schaal plakjes kaas.,1
SoD-Noun2,4.80b,0,*,Dat is een stuk kilo chocola.,1
SoD-Noun2,4.80b',0,*,Dat is een stuk kilo's chocola.,1
SoD-Noun2,4.80c,0,*,Dat is een stuk doos chocola.,1
SoD-Noun2,4.80d,0,*?,Dat is een stuk reep chocola.,1
SoD-Noun2,4.80e,0,*,Dat is een stuk groep eenden.,1
SoD-Noun2,4.81a,0,*,Dat is een verzameling boel thee.,1
SoD-Noun2,4.81b,0,*,Dat is een verzameling ons thee.,1
SoD-Noun2,4.81b',1,,Dat is een verzameling onsjes thee.,1
SoD-Noun2,4.81c,1,,Dat is een verzameling zakjes suiker.,1
SoD-Noun2,4.81d,1,,Dat is een verzameling repen chocola.,1
SoD-Noun2,4.81e,1,,Dat is een verzameling series postzegels.,1
SoD-Noun2,4.82a,1,,Hoeveel boeken heb je gelezen?,0
SoD-Noun2,4.82b,1,,Ik heb veel boeken gelezen.,1
SoD-Noun2,4.82b',1,,Ik heb een boel boeken gelezen.,1
SoD-Noun2,4.82b',1,,Ik heb een paar boeken gelezen.,1
SoD-Noun2,4.83b,1,,Ik heb één liter bier gedronken.,1
SoD-Noun2,4.83b,1,,Ik heb een litertje bier gedronken.,1
SoD-Noun2,4.83b,1,,Ik heb één litertje bier gedronken.,1
SoD-Noun2,4.83b',1,,Ik heb een glas bier gedronken.,1
SoD-Noun2,4.83b',1,,Ik heb één glas bier gedronken.,1
SoD-Noun2,4.83b',1,,Ik heb een glaasje bier gedronken.,1
SoD-Noun2,4.83b',1,,Ik heb één glaasje bier gedronken.,1
SoD-Noun2,4.83c,1,,Ik heb twee litertjes bier gedronken.,1
SoD-Noun2,4.83c',1,,Ik heb twee glazen bier gedronken.,1
SoD-Noun2,4.84a,1,,Hoeveel cake heb je gegeten?,0
SoD-Noun2,4.84b,1,,Ik heb een plakje cake gegeten.,1
SoD-Noun2,4.84b,0,*?,Ik heb een dikke plak cake gegeten.,1
SoD-Noun2,4.84c,1,,Ik heb één plak cake gegeten.,1
SoD-Noun2,4.84c,1,,Ik heb twee plakken cake gegeten.,1
SoD-Noun2,4.85a,1,,Hoeveel toeristen heb je rondgeleid?,0
SoD-Noun2,4.85b,1,,Ik heb een groepje toeristen rondgeleid.,1
SoD-Noun2,4.85c,1,,Ik heb één groep toeristen rondgeleid.,1
SoD-Noun2,4.85c,1,,Ik heb twee groepen toeristen rondgeleid.,1
SoD-Noun2,4.86a,1,,Er zijn een aantal studenten verdwenen.,0
SoD-Noun2,4.86b,1,,Er is twee kilo vlees verdwenen.,0
SoD-Noun2,4.86b',1,,Twee kilo vlees is verdwenen.,0
SoD-Noun2,4.86c,1,,Er zijn twee stukken chocola verdwenen.,0
SoD-Noun2,4.86c,1,,Er zijn twee dozen chocola verdwenen.,0
SoD-Noun2,4.86c',1,,Twee dozen chocola zijn verdwenen.,0
SoD-Noun2,4.86d,1,,Er is één kudde schapen geslacht.,0
SoD-Noun2,4.86d,1,,Er is een kudde schapen geslacht.,0
SoD-Noun2,4.86d',1,,Één kudde schapen is geslacht.,0
SoD-Noun2,4.86d',0,*,Een kudde schapen is geslacht.,0
SoD-Noun2,4.87a,1,,Het is per vier verdeeld.,1
SoD-Noun2,4.87b,0,*,Het is per veel verdeeld.,1
SoD-Noun2,4.88a,1,,Het is per hoop verdeeld.,1
SoD-Noun2,4.88b,1,,Het is per kilo verdeeld.,1
SoD-Noun2,4.88c,1,,Het is per kop verdeeld.,1
SoD-Noun2,4.88d,1,,Het is per plak verdeeld.,1
SoD-Noun2,4.88e,1,,Het is per dozijn verdeeld.,1
SoD-Noun2,4.89a,1,,Het is per twee kilo verdeeld.,1
SoD-Noun2,4.89a,0,*,Het is per twee kilo's verdeeld.,1
SoD-Noun2,4.89b,0,??,Het is per twee koppen verdeeld.,1
SoD-Noun2,4.89c,0,??,Het is per twee plakken verdeeld.,1
SoD-Noun2,4.90a,1,,Ik heb er nog een paar.,1
SoD-Noun2,4.90a,1,,Ik heb er nog een boel.,1
SoD-Noun2,4.90b,1,,Ik heb er nog een kilo.,1
SoD-Noun2,4.90b,0,*,Ik heb er nog een kilo of twee.,1
SoD-Noun2,4.90b',0,*,Ik heb er nog een liter.,1
SoD-Noun2,4.90c,0,*,Ik heb er nog een doos .,1
SoD-Noun2,4.90c,0,*,Ik heb er nog een doos of twee.,1
SoD-Noun2,4.90d,0,*,Ik heb er nog een reep.,1
SoD-Noun2,4.90e,0,*,Ik heb er nog een kudde.,1
SoD-Noun2,4.90e,0,*,Ik heb er nog een kudde of twee.,1
SoD-Noun2,4.91a,1,,Ik heb nog één paar.,1
SoD-Noun2,4.91b,1,,Ik heb nog twee liter.,1
SoD-Noun2,4.91b,1,,Ik heb nog twee liters.,1
SoD-Noun2,4.91d,1,,Ik heb nog twee repen.,1
SoD-Noun2,4.91e,1,,Ik heb nog twee kuddes.,1
SoD-Noun2,4.92a,1,,Daar loopt nog een aantal studenten.,0
SoD-Noun2,4.92a',1,,Daar lopen er nog een aantal.,0
SoD-Noun2,4.92a',0,*,Daar loopt er nog een aantal.,0
SoD-Noun2,4.92b,1,,Daar liggen nog een kilo of twee appels.,0
SoD-Noun2,4.92b,1,,Daar ligt nog een kilo of twee appels.,0
SoD-Noun2,4.92b',1,,Daar liggen er nog een kilo of twee.,0
SoD-Noun2,4.92c,1,,Daar ligt nog een kilo of twee.,0
SoD-Noun2,4.93a,1,,Ik heb nog een aantal mededelingen.,0
SoD-Noun2,4.93a'',0,*,Ik heb er nog een.,0
SoD-Noun2,4.93b,1,,Ik heb nog twee stukken chocolade.,0
SoD-Noun2,4.93b',0,*,Ik heb er nog twee chocola.,0
SoD-Noun2,4.93b'',1,,Ik heb er nog twee.,0
SoD-Noun2,4.94a,1,,Ik heb minstens tien glazen bier gedronken.,1
SoD-Noun2,4.94a',0,*,Ik heb minstens veel glazen bier gedronken.,1
SoD-Noun2,4.94b,1,,Ik heb hoogstens tien glazen bier gedronken.,1
SoD-Noun2,4.94c,1,,Ik heb bijna tien glazen bier gedronken.,1
SoD-Noun2,4.94c,1,,Ik heb ongeveer tien glazen bier gedronken.,1
SoD-Noun2,4.94c,1,,Ik heb precies tien glazen bier gedronken.,1
SoD-Noun2,4.94c',0,*,Ik heb ongeveer veel glazen bier gedronken.,1
SoD-Noun2,4.94c',0,*,Ik heb precies veel glazen bier gedronken.,1
SoD-Noun2,4.95a,0,*,Dat is minstens een boel studenten.,1
SoD-Noun2,4.95a,0,*,Dat is hoogstens een boel studenten.,1
SoD-Noun2,4.95a,0,*,Dat is ongeveer een boel studenten.,1
SoD-Noun2,4.95a,0,*,Dat is precies een boel studenten.,1
SoD-Noun2,4.95a,0,*,Dat is hoogstens een paar studenten.,1
SoD-Noun2,4.95a,0,*,Dat is bijna een paar studenten.,1
SoD-Noun2,4.95a,0,*,Dat is ongeveer een paar studenten.,1
SoD-Noun2,4.95a,0,*,Dat is precies een paar studenten.,1
SoD-Noun2,4.95b,1,,Dat is minstens een kilo vuurwerk.,1
SoD-Noun2,4.95b,1,,Dat is hoogstens een kilo vuurwerk.,1
SoD-Noun2,4.95b,1,,Dat is bijna een kilo vuurwerk.,1
SoD-Noun2,4.95b,1,,Dat is ongeveer een kilo vuurwerk.,1
SoD-Noun2,4.95b,1,,Dat is precies een kilo vuurwerk.,1
SoD-Noun2,4.95c,1,,Dat is minstens een emmer appels.,1
SoD-Noun2,4.95c,1,,Dat is bijna een emmer appels.,1
SoD-Noun2,4.95c,1,,Dat is ongeveer een emmer appels.,1
SoD-Noun2,4.95c,1,,Dat is precies een emmer appels.,1
SoD-Noun2,4.95d,1,,Dat is minstens een plak koek.,1
SoD-Noun2,4.95d,1,,Dat is bijna een plak koek.,1
SoD-Noun2,4.95d,1,,Dat is ongeveer een plak koek.,1
SoD-Noun2,4.95d,1,,Dat is precies een plak koek.,1
SoD-Noun2,4.95e,1,,Dat is minstens een team voetballers.,1
SoD-Noun2,4.95e,1,,Dat is hoogstens een team voetballers.,1
SoD-Noun2,4.95e,1,,Dat is bijna een team voetballers.,1
SoD-Noun2,4.95e,1,,Dat is ongeveer een team voetballers.,1
SoD-Noun2,4.95e',0,*,Dat is ongeveer een kudde schapen.,1
SoD-Noun2,4.95e',0,*,Dat is precies een kudde schapen.,1
SoD-Noun2,4.96a,0,*,Bijna de tien studenten zijn aanwezig.,1
SoD-Noun2,4.96a,1,,De bijna tien studenten zijn aanwezig.,1
SoD-Noun2,4.96b,1,,Dat zijn hoogstens tien kuddes schapen.,1
SoD-Noun2,4.96b,1,,Dat zijn bijna tien kuddes schapen.,1
SoD-Noun2,4.96b,1,,Dat zijn ongeveer tien kuddes schapen.,1
SoD-Noun2,4.96b,1,,Dat zijn precies tien kuddes schapen.,1
SoD-Noun2,4.97a',1,,Dat zijn vier mannen en vrouwen.,1
SoD-Noun2,4.97b',1,,Dat zijn veel mannen en vrouwen.,1
SoD-Noun2,4.98a,1,,Dat zijn een hoop dieven en een hoop inbrekers.,1
SoD-Noun2,4.98b,1,,Dat zijn een hoop dieven en inbrekers.,1
SoD-Noun2,4.99a,1,,Dat is een kilo aardappelen en een kilo groente.,1
SoD-Noun2,4.99a',1,,Dat is een kilo aardappelen en groente.,1
SoD-Noun2,4.99b,1,,Dat is een glas gin en een glas tonic.,1
SoD-Noun2,4.99b',1,,Dat is een glas gin en tonic.,1
SoD-Noun2,4.99c,1,,Dat is een stuk koek en chocola.,1
SoD-Noun2,4.100a,0,*,Dat zijn een boel de boeken.,1
SoD-Noun2,4.100a,0,*,Dat zijn een boel die boeken.,1
SoD-Noun2,4.100a,0,*,Dat zijn een boel mijn boeken.,1
SoD-Noun2,4.100a',1,,Dat zijn een boel van de boeken.,1
SoD-Noun2,4.100a',1,,Dat zijn een boel van die boeken.,1
SoD-Noun2,4.100a',1,,Dat zijn een boel van mijn boeken.,1
SoD-Noun2,4.100b,0,*,Dat is een glas de cognac.,1
SoD-Noun2,4.100b,0,*,Dat is een glas deze cognac.,1
SoD-Noun2,4.100b,0,*,Dat is een glas zijn cognac.,1
SoD-Noun2,4.100b',1,,Dat is een glas van de cognac.,1
SoD-Noun2,4.100b',1,,Dat is een glas van je cognac.,1
SoD-Noun2,4.101a,1,,Ik kreeg van Peter een glas uitgelezen cognac.,0
SoD-Noun2,4.101a,0,*,Ik kreeg van Peter een glas een uitgelezen cognac.,0
SoD-Noun2,4.101b,1,,Ik kreeg van Peter een glas van een uitgelezen cognac.,0
SoD-Noun2,4.101b,1,,Ik kreeg van Peter een glas van uitgelezen cognac.,0
SoD-Noun2,4.102a,0,*,Ik dronk een fles het.,1
SoD-Noun2,4.102b,0,*,Ik dronk een doos ze.,1
SoD-Noun2,4.102b',1,,Ik dronk een doos ervan.,1
SoD-Noun2,4.102c,0,*,Ik dronk een fles iets lekkers.,1
SoD-Noun2,4.102c',1,,Ik dronk een fles van iets lekkers.,1
SoD-Noun2,4.103a,1,,Dat zijn een hoop vriendjes van Jan.,1
SoD-Noun2,4.103b,1,,Dat is een liter warme melk.,1
SoD-Noun2,4.103c,1,,Dat is een glas melk direct van de koe.,1
SoD-Noun2,4.103d,1,,Dat is een stuk appeltaart met slagroom.,1
SoD-Noun2,4.103e,1,,Dat is een groep studenten die demonstreert.,1
SoD-Noun2,4.104a,1,,Dat is een groep aardige studenten.,1
SoD-Noun2,4.104b,1,,Dat is een groep aardigere studenten.,1
SoD-Noun2,4.104b,1,,Dat is een groep nog aardigere studenten.,1
SoD-Noun2,4.104c,0,*,Dat is een groep aardigste studenten.,1
SoD-Noun2,4.105,0,*,Het zijn een paar veel studenten.,1
SoD-Noun2,4.106a,1,,Het zijn of de oude mannen of de oude vrouwen.,1
